año,Contrato,Obra,Descripción,Monto Contrato
2025,SIOP-E-UMON-OB-AD-0062-2025,"MANTENIMIENTO DE INFRAESTRUCTURA Y LIMPIEZA EN CARRILES CENTRALES Y LATERALES, DERECHOS DE VÍA, ÁREAS VERDES, CICLOVÍAS, ALMENDRAS, ENTORNOS DE ESTACIONES Y CAMELLONES DEL PERIFÉRICO DE AV. JUAN GIL PRECIADO AL NODO VIAL COLIMILLA (LOS CONEJOS), EN ZAPOPAN, GUADALAJARA Y TONALÁ, JALISCO. FRENTE 2.","MANTENIMIENTO DE INFRAESTRUCTURA Y LIMPIEZA EN CARRILES CENTRALES Y LATERALES, DERECHOS DE VÍA, ÁREAS VERDES, CICLOVÍAS, ALMENDRAS, ENTORNOS DE ESTACIONES Y CAMELLONES DEL PERIFÉRICO DE AV. JUAN GIL PRECIADO AL NODO VIAL COLIMILLA (LOS CONEJOS), EN ZAPOPAN, GUADALAJARA Y TONALÁ, JALISCO. FRENTE 2.","$1,836,672"
2025,SIOP-E-UMON-OB-AD-0056-2025,"MANTENIMIENTO DE INFRAESTRUCTURA Y LIMPIEZA EN CARRILES VEHICULARES, DERECHOS DE VÍA, ÁREAS VERDES, CICLOVÍAS, ALMENDRAS, CAMELLONES, ENTORNOS DE ESTACIONES DEL PERIFÉRICO, PASO A DESNIVEL DE AV. SAN IGNACIO Y CALZADA LÁZARO CÁRDENAS, PUENTE MATUTE REMUS, AV. INGLATERRA Y DEL PAR VIAL EL TAPATÍO CÓDIGOS 123 Y 117 EN SAN PEDRO TLAQUEPAQUE, GUADALAJARA Y ZAPOPAN, JALISCO. FRENTE 2.","MANTENIMIENTO DE INFRAESTRUCTURA Y LIMPIEZA EN CARRILES VEHICULARES, DERECHOS DE VÍA, ÁREAS VERDES, CICLOVÍAS, ALMENDRAS, CAMELLONES, ENTORNOS DE ESTACIONES DEL PERIFÉRICO, PASO A DESNIVEL DE AV. SAN IGNACIO Y CALZADA LÁZARO CÁRDENAS, PUENTE MATUTE REMUS, AV. INGLATERRA Y DEL PAR VIAL EL TAPATÍO CÓDIGOS 123 Y 117 EN SAN PEDRO TLAQUEPAQUE, GUADALAJARA Y ZAPOPAN, JALISCO. FRENTE 2.","$2,298,750"
2025,SIOP-E-IV-OB-CSS-0059-2025,"CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 1.","CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 1.","$12,499,081"
2025,SIOP-E-IV-OB-CSS-0061-2025,"CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 3.","CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 3.","$11,408,831"
2025,SIOP-E-IV-OB-CSS-0060-2025,"CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 2.","CONSTRUCCIÓN DE PUENTE VEHICULAR RÍO SANTIAGO, EN LOS MUNICIPIOS DE OCOTLÁN Y PONCITLÁN, JALISCO. FRENTE 2.","$12,478,291"
2024,SIOP-E-ICAR-OB-CSS-228-2024,"CONSTRUCCIÓN DE LA CARRETERA ESTATAL CÓDIGO 711 BOLAÑOS – HUEJUQUILLA EL ALTO DEL KM 61+100 AL 64+000, MUNICIPIO DE HUEJUQUILLA EL ALTO, JALISCO. SEGUNDA ETAPA.","CONSTRUCCIÓN DE LA CARRETERA ESTATAL CÓDIGO 711 BOLAÑOS – HUEJUQUILLA EL ALTO DEL KM 61+100 AL 64+000, MUNICIPIO DE HUEJUQUILLA EL ALTO, JALISCO. SEGUNDA ETAPA.","$4,983,982"
2024,SIOP-E-PAV-OB-CSS-212-2024,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, INSTALACIONES HIDROSANITARIAS, BANQUETAS, CRUCEROS SEGUROS, SEÑALAMIENTO, ILUMINACIÓN, ARBOLADO Y MOBILIARIO URBANO EN LA AV. ENRIQUE DÍAZ DE LEÓN, MUNICIPIO DE GUADALAJARA, JALISCO. TERCERA ETAPA. FRENTE 2.","PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, INSTALACIONES HIDROSANITARIAS, BANQUETAS, CRUCEROS SEGUROS, SEÑALAMIENTO, ILUMINACIÓN, ARBOLADO Y MOBILIARIO URBANO EN LA AV. ENRIQUE DÍAZ DE LEÓN, MUNICIPIO DE GUADALAJARA, JALISCO. TERCERA ETAPA. FRENTE 2.","$7,983,846"
2024,SIOP-E-SMA-OB-CSS-215-2024,"CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 4.","CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 4.","$9,950,167"
2024,SIOP-E-ICAR-OB-LP-122-2024,"CONSERVACIÓN PERIÓDICA DEL CAMINO CÓDIGO 636, TRAMO E.C. (GUADALAJARA - AMECA) -EL SALITRE, EN LOS MUNICIPIOS DE AMECA Y SAN MARTÍN HIDALGO, JALISCO. FRENTE 3.","CONSERVACIÓN PERIÓDICA DEL CAMINO CÓDIGO 636, TRAMO E.C. (GUADALAJARA - AMECA) -EL SALITRE, EN LOS MUNICIPIOS DE AMECA Y SAN MARTÍN HIDALGO, JALISCO. FRENTE 3.","$3,862,937"
2024,SIOP-E-ICAR-OB-LP-171-2024,"CONSERVACIÓN RUTINARIA EN LOS CAMINOS DE LA RESIDENCIA DE AUTLÁN, JALISCO. FRENTE 2.","CONSERVACIÓN RUTINARIA EN LOS CAMINOS DE LA RESIDENCIA DE AUTLÁN, JALISCO. FRENTE 2.","$3,954,812"
2024,SIOP-E-ICAR-OB-LP-172-2024,"CONSERVACIÓN RUTINARIA EN LOS CAMINOS DE LA RESIDENCIA DE AUTLÁN, JALISCO. FRENTE 3.","CONSERVACIÓN RUTINARIA EN LOS CAMINOS DE LA RESIDENCIA DE AUTLÁN, JALISCO. FRENTE 3.","$3,511,194"
2024,SIOP-E-ICAR-OB-CSS-192-2024,"CONSERVACIÓN PERIÓDICA DEL CAMINO 604 DEL REFUGIO - SAN MARCOS Y DEL CAMINO 632 DE SAN MARCOS - LÍMITE DEL ESTADO, EN LOS MUNICIPIOS DE AHUALULCO DE MERCADO, ETZATLÁN Y SAN MARCOS, JALISCO. FRENTE 3.","CONSERVACIÓN PERIÓDICA DEL CAMINO 604 DEL REFUGIO - SAN MARCOS Y DEL CAMINO 632 DE SAN MARCOS - LÍMITE DEL ESTADO, EN LOS MUNICIPIOS DE AHUALULCO DE MERCADO, ETZATLÁN Y SAN MARCOS, JALISCO. FRENTE 3.","$4,540,452"
2024,SIOP-E-ICAR-OB-CSS-207-2024,"CONSERVACIÓN RUTINARIA DEL CAMINO TIPO C, CARRETERA TALPA DE ALLENDE - LLANO GRANDE -TOMATLÁN DEL KM 0+000 AL KM 120+090, MUNICIPIO DE TALPA DE ALLENDE, JALISCO. FRENTE 1.","CONSERVACIÓN RUTINARIA DEL CAMINO TIPO C, CARRETERA TALPA DE ALLENDE - LLANO GRANDE -TOMATLÁN DEL KM 0+000 AL KM 120+090, MUNICIPIO DE TALPA DE ALLENDE, JALISCO. FRENTE 1.","$11,458,932"
2024,SIOP-E-FINEDUC-OB-CSS-243-2024,"CONSTRUCCIÓN DE INFRAESTRUCTURA EN EL TECNOLÓGICO SUPERIOR DE JALISCO SAN JUAN DE LOS LAGOS, UBICADO EN EL MUNICIPIO DE SAN JUAN DE LOS LAGOS, JALISCO. SEGUNDA ETAPA. FRENTE 4.","CONSTRUCCIÓN DE INFRAESTRUCTURA EN EL TECNOLÓGICO SUPERIOR DE JALISCO SAN JUAN DE LOS LAGOS, UBICADO EN EL MUNICIPIO DE SAN JUAN DE LOS LAGOS, JALISCO. SEGUNDA ETAPA. FRENTE 4.","$6,513,842"
2024,SIOP-E-SMA-OB-CSS-251-2024,"CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 8.","CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 8.","$11,749,980"
2024,SIOP-E-SROP-SER-CSS-289-2024,"ELABORACIÓN DE PROYECTO EJECUTIVO PARA LA CONSTRUCCIÓN DE VIALIDAD Y VIADUCTO ELEVADO BATALLÓN DE TRINIDAD, UBICADA EN LOS MUNICIPIOS DE JUANACATLÁN Y EL SALTO, JALISCO.","ELABORACIÓN DE PROYECTO EJECUTIVO PARA LA CONSTRUCCIÓN DE VIALIDAD Y VIADUCTO ELEVADO BATALLÓN DE TRINIDAD, UBICADA EN LOS MUNICIPIOS DE JUANACATLÁN Y EL SALTO, JALISCO.","$2,491,709"
2024,SIOP-E-SMA-OB-CSS-253-2024,"CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 10.","CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 10.","$11,723,790"
2024,SIOP-E-FINEDUC-OB-CSS-118-2024,"MEJORAMIENTO DE INFRAESTRUCTURA DEL CENTRO DE ATENCIÓN MÚLTIPLE 2 ANTONIO ALCALDE CCT 14EML0069N, EN LA COLONIA MIRAFLORES, MUNICIPIO DE GUADALAJARA, JALISCO.","MEJORAMIENTO DE INFRAESTRUCTURA DEL CENTRO DE ATENCIÓN MÚLTIPLE 2 ANTONIO ALCALDE CCT 14EML0069N, EN LA COLONIA MIRAFLORES, MUNICIPIO DE GUADALAJARA, JALISCO.","$9,949,712"
2024,SIOP-E-SMA-OB-CSS-214-2024,"CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 3.","CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 3.","$12,150,948"
2024,SIOP-E-SMA-OB-AD-165-2024,"CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 2.","CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 2.","$2,498,750"
2024,SIOP-E-FINEDUC-OB-CSS-238-2024,"CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 1.","CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 1.","$12,435,483"
2024,SIOP-E-DREFOCOCI-OB-AD-874-2024,"REHABILITACIÓN DE LA UNIDAD DEPORTIVA LA MICAELITA, UBICADA EN EL MUNICIPIO DE SAN PEDRO TLAQUEPAQUE, JALISCO. SEGUNDA ETAPA. FRENTE 3.","REHABILITACIÓN DE LA UNIDAD DEPORTIVA LA MICAELITA, UBICADA EN EL MUNICIPIO DE SAN PEDRO TLAQUEPAQUE, JALISCO. SEGUNDA ETAPA. FRENTE 3. .","$2,292,458"
2024,SIOP-E-PAVFI-OB-AD-202-2024,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, EN LA CALLE PEDRO DE GANTE, UBICADA EN LA CABECERA MUNICIPAL DE ZAPOTITLÁN DE VADILLO, JALISCO.","PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, EN LA CALLE PEDRO DE GANTE, UBICADA EN LA CABECERA MUNICIPAL DE ZAPOTITLÁN DE VADILLO, JALISCO.","$1,998,008"
2024,SIOP-E-FINEDUC-OB-CSS-239-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA INSTITUTO CABAÑAS CCT 14EPR1309U, EN LA COLONIA LA GIRALDA, MUNICIPIO DE ZAPOPAN, JALISCO.","MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA INSTITUTO CABAÑAS CCT 14EPR1309U, EN LA COLONIA LA GIRALDA, MUNICIPIO DE ZAPOPAN, JALISCO.","$9,950,119"
2024,SIOP-E-FINEDUC-OB-CSS-282-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA MANUEL MARTÍNEZ VALADÉZ CCT 14EPR0294B, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. SEGUNDA ETAPA.","MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA MANUEL MARTÍNEZ VALADÉZ CCT 14EPR0294B, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. SEGUNDA ETAPA.","$2,763,999"
